"unitid","institution name","year","C2015_A.First or Second Major","C2015_A.CIP Code -  2010 Classification","CipTitle","C2015_A.Award Level code","C2015_A_RV.Grand total","IDX_C"
"110653","University of California-Irvine","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","8","-2"
"110653","University of California-Irvine","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","14","-2"
"110653","University of California-Irvine","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","40","-2"
"110653","University of California-Irvine","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","2","-2"
"110653","University of California-Irvine","2015","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","7","-2"
"110653","University of California-Irvine","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","11","-2"
"110653","University of California-Irvine","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","9","-2"
"110662","University of California-Los Angeles","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","255","-2"
"110662","University of California-Los Angeles","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","36","-2"
"110662","University of California-Los Angeles","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","49","-2"
"110662","University of California-Los Angeles","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","39","-2"
"110662","University of California-Los Angeles","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","7","-2"
"110662","University of California-Los Angeles","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","63","-2"
"110662","University of California-Los Angeles","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","13","-2"
"110671","University of California-Riverside","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","107","-2"
"110671","University of California-Riverside","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","5","-2"
"110671","University of California-Riverside","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","12","-2"
"110671","University of California-Riverside","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","55","-2"
"110671","University of California-Riverside","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","5","-2"
"110671","University of California-Riverside","2015","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","7","-2"
"110671","University of California-Riverside","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","38","-2"
"110671","University of California-Riverside","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","30","-2"
"110680","University of California-San Diego","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","45","-2"
"110680","University of California-San Diego","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","3","-2"
"110680","University of California-San Diego","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","2","-2"
"110680","University of California-San Diego","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","8","-2"
"110680","University of California-San Diego","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","10","-2"
"110680","University of California-San Diego","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110705","University of California-Santa Barbara","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","160","-2"
"110705","University of California-Santa Barbara","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","7","-2"
"110705","University of California-Santa Barbara","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","19","-2"
"110705","University of California-Santa Barbara","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","39","-2"
"110705","University of California-Santa Barbara","2015","First major","'16.0905'","Spanish Language and Literature","Master's degree","1","-2"
"110705","University of California-Santa Barbara","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","58","-2"
"110705","University of California-Santa Barbara","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","29","-2"
"110714","University of California-Santa Cruz","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","276","-2"
"110714","University of California-Santa Cruz","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","9","-2"
"110714","University of California-Santa Cruz","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","8","-2"
